TimePeriod,GeoType,GeoID,GeoRank,Geography,Annual mean mcg/m3,Summer mean mcg/m3,Winter mean mcg/m3
2024,CD,101,6,Financial District (CD1),8.1,10.0,7.5
2024,CD,102,6,Greenwich Village and Soho (CD2),9.4,11.6,8.3
2024,CD,103,6,Lower East Side and Chinatown (CD3),8.1,10.0,7.5
2024,CD,104,6,Clinton and Chelsea (CD4),8.8,10.8,8.0
2024,CD,105,6,Midtown (CD5),10.5,12.8,8.8
2024,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),8.4,10.3,7.6
2024,CD,107,6,Upper West Side (CD7),6.8,8.3,6.7
2024,CD,108,6,Upper East Side (CD8),7.1,8.7,6.9
2024,CD,109,6,Morningside Heights and Hamilton Heights (CD9),6.8,8.5,6.7
2024,CD,110,6,Central Harlem (CD10),6.8,8.5,6.7
2024,CD,111,6,East Harlem (CD11),6.7,8.3,6.6
2024,CD,112,6,Washington Heights and Inwood (CD12),6.6,8.4,6.5
2024,CD,201,6,Mott Haven and Melrose (CD1),6.8,8.4,6.6
2024,CD,202,6,Hunts Point and Longwood (CD2),7.2,8.9,6.8
2024,CD,203,6,Morrisania and Crotona (CD3),6.8,8.5,6.4
2024,CD,204,6,Highbridge and Concourse (CD4),6.5,8.2,6.4
2024,CD,205,6,Fordham and University Heights (CD5),6.5,8.2,6.3
2024,CD,206,6,Belmont and East Tremont (CD6),6.6,8.5,6.3
2024,CD,207,6,Kingsbridge Heights and Bedford (CD7),6.5,8.3,6.2
2024,CD,208,6,Riverdale and Fieldston (CD8),6.3,8.2,6.1
2024,CD,209,6,Parkchester and Soundview (CD9),6.4,8.2,6.1
2024,CD,210,6,Throgs Neck and Co-op City (CD10),6.0,7.9,5.6
2024,CD,211,6,Morris Park and Bronxdale (CD11),6.3,8.2,5.9
2024,CD,212,6,Williamsbridge and Baychester (CD12),6.2,8.2,5.8
2024,CD,301,6,Greenpoint and Williamsburg (CD1),7.5,9.2,7.2
2024,CD,302,6,Fort Greene and Brooklyn Heights (CD2),7.2,9.0,7.0
